/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.561404,0.011862
Epoch: 96/1000, train loss:0.377434, test loss:1.486918, train_acc=2421/2880=0.840625, test_acc=628/1140=0.550877, best_acc=0.778070, train_mae:0.002186, test_mae:0.004024
Epoch: 97/1000, train loss:0.393729, test loss:1.117071, train_acc=2370/2880=0.822917, test_acc=657/1140=0.576316, best_acc=0.778070, train_mae:0.002176, test_mae:0.001764
Epoch: 98/1000, train loss:0.375682, test loss:9.108146, train_acc=2433/2880=0.844792, test_acc=640/1140=0.561404, best_acc=0.778070, train_mae:0.002128, test_mae:0.008162
Epoch: 99/1000, train loss:0.366525, test loss:8.148537, train_acc=2477/2880=0.860069, test_acc=640/1140=0.561404, best_acc=0.778070, train_mae:0.002114, test_mae:0.011515
Epoch: 100/1000, train loss:0.308623, test loss:0.967599, train_acc=2471/2880=0.857986, test_acc=752/1140=0.659649, best_acc=0.778070, train_mae:0.002158, test_mae:0.005193
Epoch: 101/1000, train loss:0.264846, test loss:3.909949, train_acc=2574/2880=0.893750, test_acc=654/1140=0.573684, best_acc=0.778070, train_mae:0.002174, test_mae:0.007137
model saved, 0.788596,0.003322
Epoch: 102/1000, train loss:0.308620, test loss:0.527675, train_acc=2531/2880=0.878819, test_acc=899/1140=0.788596, best_acc=0.788596, train_mae:0.002152, test_mae:0.003322
Epoch: 103/1000, train loss:0.382048, test loss:1.371005, train_acc=2393/2880=0.830903, test_acc=655/1140=0.574561, best_acc=0.788596, train_mae:0.002094, test_mae:0.004375
Epoch: 104/1000, train loss:0.377897, test loss:1.983683, train_acc=2409/2880=0.836458, test_acc=642/1140=0.563158, best_acc=0.788596, train_mae:0.002090, test_mae:0.008047
Epoch: 105/1000, train loss:0.324763, test loss:1.020005, train_acc=2502/2880=0.868750, test_acc=639/1140=0.560526, best_acc=0.788596, train_mae:0.002156, test_mae:0.006180
Epoch: 106/1000, train loss:0.374657, test loss:0.628345, train_acc=2435/2880=0.845486, test_acc=797/1140=0.699123, best_acc=0.788596, train_mae:0.002082, test_mae:0.002717
Epoch: 107/1000, train loss:0.302340, test loss:6.472651, train_acc=2535/2880=0.880208, test_acc=636/1140=0.557895, best_acc=0.788596, train_mae:0.002050, test_mae:0.004648
Epoch: 108/1000, train loss:0.239129, test loss:1.333531, train_acc=2614/2880=0.907639, test_acc=742/1140=0.650877, best_acc=0.788596, train_mae:0.002097, test_mae:0.001811
Epoch: 109/1000, train loss:0.242532, test loss:1.134984, train_acc=2581/2880=0.896181, test_acc=751/1140=0.658772, best_acc=0.788596, train_mae:0.002075, test_mae:0.001367
model saved, 0.850877,0.001665
Epoch: 110/1000, train loss:0.207889, test loss:0.376327, train_acc=2640/2880=0.916667, test_acc=970/1140=0.850877, best_acc=0.850877, train_mae:0.002098, test_mae:0.001665
Epoch: 111/1000, train loss:0.199693, test loss:3.825069, train_acc=2663/2880=0.924653, test_acc=664/1140=0.582456, best_acc=0.850877, train_mae:0.002074, test_mae:0.003119
Epoch: 112/1000, train loss:0.202095, test loss:0.834473, train_acc=2640/2880=0.916667, test_acc=865/1140=0.758772, best_acc=0.850877, train_mae:0.002072, test_mae:0.003349
Epoch: 113/1000, train loss:0.226187, test loss:2.781539, train_acc=2619/2880=0.909375, test_acc=650/1140=0.570175, best_acc=0.850877, train_mae:0.002047, test_mae:0.002291
Epoch: 114/1000, train loss:0.196314, test loss:3.547601, train_acc=2656/2880=0.922222, test_acc=634/1140=0.556140, best_acc=0.850877, train_mae:0.002071, test_mae:0.001522
Epoch: 115/1000, train loss:0.168363, test loss:2.177939, train_acc=2685/2880=0.932292, test_acc=711/1140=0.623684, best_acc=0.850877, train_mae:0.002042, test_mae:0.002026
Epoch: 116/1000, train loss:0.165931, test loss:17.237456, train_acc=2720/2880=0.944444, test_acc=539/1140=0.472807, best_acc=0.850877, train_mae:0.002025, test_mae:0.003187
Epoch: 117/1000, train loss:0.177612, test loss:2.506363, train_acc=2661/2880=0.923958, test_acc=649/1140=0.569298, best_acc=0.850877, train_mae:0.002017, test_mae:0.001947
Epoch: 118/1000, train loss:0.160277, test loss:2.769332, train_acc=2694/2880=0.935417, test_acc=666/1140=0.584211, best_acc=0.850877, train_mae:0.002006, test_mae:0.002027
Epoch: 119/1000, train loss:0.162327, test loss:1.079037, train_acc=2687/2880=0.932986, test_acc=772/1140=0.677193, best_acc=0.850877, train_mae:0.002044, test_mae:0.002761
Epoch: 120/1000, train loss:0.152127, test loss:2.713571, train_acc=2706/2880=0.939583, test_acc=681/1140=0.597368, best_acc=0.850877, train_mae:0.002012, test_mae:0.001553
Epoch: 121/1000, train loss:0.157756, test loss:4.925632, train_acc=2683/2880=0.931597, test_acc=596/1140=0.522807, best_acc=0.850877, train_mae:0.002014, test_mae:0.001321
Epoch: 122/1000, train loss:0.182789, test loss:0.556656, train_acc=2667/2880=0.926042, test_acc=943/1140=0.827193, best_acc=0.850877, train_mae:0.002041, test_mae:0.002361
Epoch: 123/1000, train loss:0.191937, test loss:1.191992, train_acc=2666/2880=0.925694, test_acc=745/1140=0.653509, best_acc=0.850877, train_mae:0.002012, test_mae:0.001662
Epoch: 124/1000, train loss:0.164574, test loss:3.171744, train_acc=2711/2880=0.941319, test_acc=656/1140=0.575439, best_acc=0.850877, train_mae:0.001951, test_mae:0.001556
Epoch: 125/1000, train loss:0.124071, test loss:0.478762, train_acc=2754/2880=0.956250, test_acc=948/1140=0.831579, best_acc=0.850877, train_mae:0.001925, test_mae:0.001524
Epoch: 126/1000, train loss:0.122024, test loss:1.964425, train_acc=2738/2880=0.950694, test_acc=721/1140=0.632456, best_acc=0.850877, train_mae:0.001947, test_mae:0.002135
Epoch: 127/1000, train loss:0.123187, test loss:1.317529, train_acc=2746/2880=0.953472, test_acc=761/1140=0.667544, best_acc=0.850877, train_mae:0.001944, test_mae:0.001389
